Indicatif;Type;Description;Tone;Locator;Longitude;Latitude;Sysop;Prenom
(17) F1ZRT V;Link;145.350 MHz;162.2 Hz;IN95lo;-1.0082102;45.5983406;F4HES;
(49) F6JSP V;Link;145.2875 MHz;250.3 Hz;IN97ul;-0.2899629;47.4715605;;
(55) F5ZQV V;Link;145.4125 MHz;127.3 Hz;JN28vx;5.8261871;48.9643287;F5NLG;Jean-philippe
(M) F1EVM H;Hotspot;432.975 MHz;71.9 Hz;IN98nc;-0.8905783;48.0968846;;Jean-francois
(LX) LX2OOO 6M;Link;50.570 MHz ;103.5 Hz;JN39bm;6.0979476;49.5181983;;Jean-francois
(62) F5ZGJ V;Link;145.350 MHz;123 Hz;JO10kk;2.9094887;50.451766;F4HTN;Nicolas
(35) F1ZHH V;Link;144.525 MHz;71.9 Hz;IN88xp;-2.0549583;48.6347237;F1TZO;Michel
(79) F5ZRE V;Link;145.3125 MHz;103.5 Hz;IN96qu;-0.6557465;46.86113;F5LRQ;Robert
(42) F5ZBR R;Relais;145.6125 MHz - 0.6 kHz;123 Hz;JN25ek;4.3945313;45.4331536;F4ASS;Sebastien
(22) F4VSJ U;Link;430.5375 MHz;71.9 Hz;IN88ie;-3.2687599;48.1862932;;Sebastien
(29) F6CIU V;Link;145.325 MHz;123 Hz;IN78ro;-4.550904;48.6094478;;Sebastien
(29) F1ZRA 10M;Link;29.170 MHz;131.8 Hz;IN78pk;-4.7333694;48.4342904;F4ELI;Christophe
(38) F6IRG 10M;Link;29.140 MHz;131.8 Hz;JN25mj;5.0533652;45.3896493;;Christophe
(33) F5LCT V;Link;145.350 MHz;123 Hz;IN95ka;-1.1168289;45.0051076;;Christophe
(22) F5ZMU U;Link;432.975 MHz;71.9 Hz;IN88kn;-3.1259537;48.5611587;F6HRP;Alain
(60) F1ZCY T;Transpondeur;145.400 MHz / 430.300 MHz + 1.6 MHz;123 Hz;JN19ai;2.0005417;49.3718669;F1PRY;
(80) F5KOU V;Link;145.225 MHz;123 Hz;JN19ix;2.6844406;49.9900839;F4EHY;Jacky
(12) F5ZGE V;Link;144.6375 MHz;71.9 Hz;JN14gi;2.5817577;44.3553941;F5FPI;Francis
(53) F1ZQN V;Link;145.3875 MHz;103.5 Hz;IN98oj;-0.7890308;48.4135146;F1EVM;Jean-francois
(22) F1ZQQ V;Link;145.350 MHz;71.9 Hz;IN88no;-2.8815079;48.6059008;F4GGU;Lionel
(60) F1ZKG 10M;Relais;RH6 29.670 MHz - 100 kHz;131.8 Hz;JN19ai;2.0395088;49.3336245;F1PRY;
(78) F5ZEQ R;Relais;145.750 MHz - 0.6 MHz (96# pour le RRF);192.8 Hz;JN18bw;2.1219063;48.9254882;;
(22) F1ZNW R;Relais;430.4375 + 9.4MHz;71.9 Hz;IN88rn;-2.5349236;48.5582048;F1BSR;Patrice
(66) F0GVD V;Link;145.3375 MHz;74.4 Hz;JN12an;2.07515;42.5777499;;Patrice
(QC) VA2NRJ V;Link;145.550 MHz;250.3 Hz;FN35hn;-73.3827757;45.5728555;;Patrice
(45) F1ZQD U;Link;431.025 MHz;123 Hz;JN17ix;2.7339269;47.9975207;F4HKP;
(62) F5ZRC V;Link;144.975 MHz;123 Hz;JO10jg;2.7601422;50.2777075;F5MIV;Jean pierre
(54) F1ZPA V;Link;145.250 MHz;250.3 Hz;JN38kn;6.8890488;48.5715329;F4BIT;
(53) F5BUF V;Link;145.300 MHz;103.5 Hz;IN98uf;-0.3079474;48.2300116;;
(66) F6KBR V;Link;145.3625 MHz;250.3 Hz;JN12kq;2.8963731;42.6952685;F8BSY;Xavier
(30) F5UEU V;Link;144.8375 MHz;123 Hz;JN24hd;4.6202235;44.163929;;Xavier
(MA) CN8VY U;Link;433.500 MHz;77 Hz;IM63nx;-6.8608408;33.9648152;PU2ZSP;
(60) F1ZKE R;Relais;145.6125 MHz - 0.6 MHz;123 Hz;JN19fg;2.4779257;49.2583544;F4FSD;Laurent
(50) F4BNF V;Link;144.550 MHz;88.5 Hz;IN99ia;-1.2844186;49.0257676;;Laurent
(39) F1ZKS R;Relais;145.700 MHz - 0.6 MHz;88.5 Hz;JN26uk;5.7087406;46.4323849;F0DEI;Toufik
(57) F0EOC V;Link;144.650 MHz;71.9 Hz;JN39jd;6.8097611;49.1453797;;Toufik
(QC) VE2RXY H;Hotspot;446.125 MHz;123 Hz;FN57lk;-69.0482257;47.4377517;;
(02) F1ZQZ V;Link;145.250 MHz;123 Hz;JN19pt;3.291441;49.8201603;F1BSR;Patrice
(79) F1ZOT V;Link;144.975 MHz;103.5 Hz;IN96tp;-0.3537231;46.6530345;F4GGU;Lionel
(988) FK5ZBY T;Transpondeur;145.300 MHz / 430.300 MHz;250.3 Hz;RG37fr;166.4416857;-22.2690587;FK8HM;Eric
(60) F1ZKH V;Link;145.3125 MHz;123 Hz;JN19jk;2.8103392;49.4202049;F1PRY;
(11) F1ZPH V;Link;145.550 MHz;250.3 Hz;JN13ef;2.3504168;43.2149097;F4HSQ;Jean-louis
(62) F6KCE V;Link;144.525 MHz;123 Hz;JO10kc;2.8460574;50.1168638;F6IPV;Rene
(78) F4BOH V;Link;145.2875 MHz;192.8 Hz;JN19ba;2.092265;49.0058693;;Rene
(42) F1ZID V;Link;145.4375 MHz;123 Hz;JN25hi;4.6504661;45.3433192;F4ASS;Sebastien
(31) F1ZLS V;Link;144.925 MHz;71.9 Hz;JN03ok;1.2224839;43.4315499;F4GRL;Yves
(15) F5KHC T;Transpondeur;145.225 MHz & 430.175 MHz;151.4 Hz;JN14gv;2.554493;44.9036115;F6IOJ;Jean louis
(59) F1ZDN T;Transpondeur;145.2625 MHz - 0.6 MHz , 433.050 MHz - 1.6 MHz;123 Hz;JO10ve;3.8147331;50.2024372;F1IWQ;Frederic
(BR) PU2ZSP U;Link;438.550 MHz;77 Hz;GG66qk;-46.6083433;-23.558016;;Frederic
(49) F5ZRH V;Link;145.350 MHz;103.5 Hz;IN97na;-0.8883302;47.0416124;F5GBS;Serge
(18) F1FHL V;Link;145.4125 MHz;71.9 Hz;JN17fl;2.4492808;47.4837701;;Serge
(38) F1GFB V;Link;145.3375 MHz;123 Hz;JN24tw;5.6590583;44.9461889;;Serge
(974) FR4NP U;Link;435.100 MHz;97.4 Hz;LG79pb;55.3026939;-20.9383678;;Serge
(35) F5ZZC U;Link;432.975 MHz;71.9 Hz;IN98db;-1.7449704;48.0496976;F5NLG;Jean-philippe
(71) F5ZJW T;Transpondeur;144.500 MHz / 432.600 MHz;203.5 Hz;JN26ql;5.4160656;46.4986138;F6IKY;Alain
(37) F6KCI T;Transpondeur;434.975 MHz ,144.5375 MHz ;123 Hz;JN07ik;0.6861591;47.432888;F6GUZ;Pascal
(12) F5BLC U;Link;431.500 MHz;71.9 Hz;JN14ai;2.0351047;44.3530017;;Pascal
(30) F4IAH V;Link;144.6375 MHz;179.9 Hz;JN24ja;4.7661497;44.0135852;;Pascal
(07) F1ZQJ R;Relais;433.075 MHz - 1.6 MHz;123 Hz;JN24jx;4.7961635;44.9652734;F4IGC;
(11) F1ZCZ V;Link;145.325 MHz;250.3 Hz;JN13ne;3.1238182;43.1747948;F1QM ;
(51) F5ZRI V;Link;145.300 MHz;100 Hz;JN29af;4.0537389;49.2242659;F5TPK;Harald
(28) F5ZQX V;Link;144.5875 MHz;131.8 Hz;JN08qb;1.3699677;48.0744892;F5LPE;Philippe
(68) F1HIU U;Link;434.975 MHz;67 Hz;JN37kt;6.9091397;47.8080794;;Philippe
(75) F1ZPX V;Link;145.3875 MHz;192.8 Hz;JN18du;2.2788841;48.8458103;F4HWN;Armel
(34) F5IDZ V;Link;145.3625 MHz;71.9 Hz;JN13rp;3.4346915;43.6304442;;Armel
(58) F4HLJ H;Hotspot;145.3125 MHz;77 Hz;JN17na;3.1367672;47.0006555;;Michel
(10) F1ZCU U;Link;433.075 - 1.6MHz;123 Hz;JN18xh;3.9575236;48.3092465;F1GZH;Patrick
(86) F1GXW V;Link;145.375 MHz;123 Hz;JN06hx;0.6041972;46.9635829;;Patrick
(22) F5NLG H;Hotspot;434.975 MHz;71.9 Hz;IN88hn;-3.3977997;48.5434084;;Jean-philippe
(2B) TK4LS V;Link;145.400 MHz;71.9 Hz;JN42qa;9.3733239;42.0199948;;Jean-philippe
(972) FM1LF V;Link;144.8625 MHz;97.4 Hz;FK94lq;-61.0372237;14.6737791;;Jean-philippe
(13) F5ZRJ V;Link;144.925 MHz;123 Hz;JN23pm;5.2554436;43.523536;F5RIJ;Patrice
(2B) TK1CX V;Link;144.900 MHz;141.3 Hz;JN42sc;9.511508;42.1077665;;Patrice
(2A) TK0NL V;Link;145.300 MHz;141.3 Hz;JN41iw;8.738312;41.9221631;;Patrice
(971) FG5GP V;Link;145.425 MHz;123 Hz;FK96ef;-61.6016877;16.2358078;;Patrice
(60) F5KMB V;Link;145.325 MHz;123 Hz;JN19fm;2.4364787;49.5069688;F4FSD;Laurent
(51) F5PEG V;Link;145.325 MHz;71.9 Hz;JN28ex;4.3729776;48.9629183;;Laurent
(29) F4HQE V;Link;145.350 MHz;71.9 Hz;IN77xv;-4.0628053;47.9086723;;Laurent
(974) FR5ZAE V;Link;145.350 MHz;97.4 Hz;LG78ow;55.2288012;-21.0538225;;Laurent
(34) F5ZRX V;Link;144.8625 MHz;250.3 Hz;JN13xp;3.9296993;43.6450256;F5PRO;Philippe
(16) F1UGC V;Link;145.3625 MHz;179.9 Hz;IN95wm;-0.1110273;45.5131062;;Philippe
(02) F1ZRR V;Link;145.325 MHz;123 Hz;JN19tv;3.6302285;49.8934668;F1BSR;Patrice
(34) F1RXP H;Hotspot;432.975 MHz;71.9 Hz;JN13kn;2.915283;43.555088;;Jean paul
(33) F8DWH H;Hotspot;432.975 MHz;71.9 Hz;IN94up;-0.3052741;44.6361265;;Bruno
(92) F5NKP H;Hotspot;439.975 MHz;71.9 Hz;JN18dt;2.2579886;48.8249425;;Yannick
(29) F6DLE H;Hotspot;432.975 MHz;71.9 Hz;IN88fg;-3.5548278;48.2787383;;Jean
(22) F1NWT H;Hotspot;432.975 MHz;71.9 Hz;IN88lt;-3.0298268;48.8016356;;Jean-jacques
(83) F8HJV H;Hotspot;432.975 MHz;71.9 Hz;JN33fa;6.4362383;43.0181605;;Christian
(76) F6CYK H;Hotspot;439.975 MHz;71.9 Hz;JN09cq;0.2056478;49.7068404;;Pierre-antoine
(56) F4HWD H;Hotspot;432.975 MHz;71.9 Hz;IN87hr;-3.372116;47.7490128;;
(56) F0EHQ H;Hotspot;144.975 MHz;71.9 Hz;IN87hs;-3.3689318;47.7523774;;Philippe
